,developer,count,year
0,LucasArts,1,1995
1,3DRealms,0,1995
2,MPSLabs,0,1995
3,PulseEntertainment,0,1995
4,Capcom,0,1995
5,idSoftware,0,1995
6,AdelineSoftware,0,1995
7,Namco,0,1995
8,Nintendo,0,1995
9,ParadigmEntertainment,0,1995
10,RevolutionSoftware,0,1995
11,Psygnosis,0,1995
12,DigiFXInteractive,0,1995
13,SimTex,0,1995
14,WestwoodStudios,0,1995
15,CoreDesignLtd.,0,1995
16,RocketScienceGames,0,1995
17,TaitoCorporation,0,1995
18,BlizzardEntertainment,0,1995
19,RareLtd.,0,1995
20,IguanaEntertainment,0,1995
21,SmokingCarProductions,0,1995
22,MonolithProductions,0,1995
23,OddworldInhabitants,0,1995
24,SquareSoft,0,1995
25,CavedogEntertainment,0,1995
26,EnsembleStudios,0,1995
27,ProbeEntertainmentLimited,0,1995
28,RunningWithScissors,0,1995
29,FiraxisGames,0,1995
30,LightWeight,0,1995
31,Konami,0,1995
32,BlackIsleStudios,0,1995
33,EurocomEntertainmentSoftware,0,1995
34,NanaOn-Sha,0,1995
35,BungieSoftware,0,1995
36,Bungie,0,1995
37,CyanWorlds,0,1995
38,MatrixSoftware,0,1995
39,MidwayStudios-SanDiego,0,1995
40,KonamiComputerEntertainmentOsaka,0,1995
41,TeamNinja,0,1995
42,TribalDreams,0,1995
43,PolyphonyDigital,0,1995
44,HyperBoleStudios,0,1995
45,AlfaSystem,0,1995
46,Infogrames,0,1995
47,TopWareInteractive,0,1995
48,RedStormEntertainment,0,1995
49,TechnoSoft,0,1995
50,Acquire,0,1995
51,DMADesign,0,1995
52,KCEJ,0,1995
53,NaughtyDog,0,1995
54,PopTopSoftware,0,1995
55,Factor5,0,1995
56,ValveSoftware,0,1995
57,Atari,0,1995
58,MicroProse,0,1995
59,LookingGlassStudios,0,1995
60,BioWare,0,1995
61,KCEK,0,1995
62,Eidetic,0,1995
63,KCET,0,1995
64,Hudson,0,1995
65,EACanada,0,1995
66,SonyOnlineEntertainment,0,1995
67,Metro,0,1995
68,HALLabs,0,1995
69,GameArts,0,1995
70,SCEI,0,1995
71,BossGameStudios,0,1995
72,Tri-Ace,0,1995
73,CamelotSoftwarePlanning,0,1995
74,Hal,0,1995
75,ReflectionsInteractive,0,1995
76,IllusionSoftworks,0,1995
77,Midway,0,1995
78,IrrationalGames,0,1995
79,CrystalDynamics,0,1995
80,Relic,0,1995
81,NeversoftEntertainment,0,1995
82,Acclaim,0,1995
83,VolitionInc.,0,1995
84,FlyingLegends,0,1995
85,SierraEntertainment,0,1995
86,TurbineInc.,0,1995
87,AngelStudios,0,1995
88,ValkyrieStudios,0,1995
89,UbisoftMontpellier,0,1995
90,DreamworksInteractive,0,1995
91,Traveller'sTales,0,1995
92,VictorInteractiveSoftware,0,1995
93,EpicGames,0,1995
94,Sega,0,1995
95,Treasure,0,1995
96,ParadoxInteractive,0,1995
97,Egosoft,0,1995
98,Techland,0,1995
99,Maxis,0,1995
100,3DO,0,1995
101,EdenStudios,0,1995
102,Ornith,0,1995
103,NexTech,0,1995
104,DigitalAnvil,0,1995
105,MicrosoftGameStudios,0,1995
106,DaydreamSoftware,0,1995
107,LeftFieldProductions,0,1995
108,MassiveEntertainment,0,1995
109,Nihilistic,0,1995
110,Hitmaker,0,1995
111,MassMedia,0,1995
112,CreativeAssembly,0,1995
113,DigitalFusionInc.,0,1995
114,OutrageGames,0,1995
115,Canal+Multimedia,0,1995
116,Synetic,0,1995
117,14DegreesEast,0,1995
118,IonStorm,0,1995
119,BlizzardNorth,0,1995
120,Warthog,0,1995
121,Europress,0,1995
122,PandemicStudios,0,1995
123,TremorEntertainment,0,1995
124,VideoSystem,0,1995
125,StrategicStudiesGroup,0,1995
126,BreakAwayGames,0,1995
127,ParadoxDevelopment,0,1995
128,BizarreCreations,0,1995
129,Opus,0,1995
130,GeneticAnomalies,0,1995
131,Vingt-et-unSystems,0,1995
132,WowEntertainment,0,1995
133,ThirdLawInteractive,0,1995
134,RaylandInteractive,0,1995
135,LostToys,0,1995
136,SiliconDreams,0,1995
137,HighVoltageSoftware,0,1995
138,AttentionToDetail,0,1995
139,Razorworks,0,1995
140,ZonoInc.,0,1995
141,Yuke's,0,1995
142,EllipseStudios,0,1995
143,RitualEntertainment,0,1995
144,Vivarium,0,1995
145,989Sports,0,1995
146,EASports,0,1995
147,UDS,0,1995
148,CriterionGames,0,1995
149,WARP,0,1995
150,ClimaxGroup,0,1995
